Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: next {78}
      1    0.0%    0.0%  Handler: next {75}
      1    0.0%    0.0%  Handler: next {74}
      1    0.0%    0.0%  Handler: next {73}
      1    0.0%    0.0%  Handler: next {72}
      1    0.0%    0.0%  Handler: next {71}
      1    0.0%    0.0%  Handler: next {70}
      1    0.0%    0.0%  Handler: next {6}
      1    0.0%    0.0%  Handler: next {68}
      1    0.0%    0.0%  Handler: next {67}
      1    0.0%    0.0%  Handler: next {66}
      1    0.0%    0.0%  Handler: next {65}
      1    0.0%    0.0%  Handler: next {64}
      1    0.0%    0.0%  Handler: next {63}
      1    0.0%    0.0%  Handler: next {62}
      1    0.0%    0.0%  Handler: next {61}
      1    0.0%    0.0%  Handler: next {60}
      1    0.0%    0.0%  Handler: next {59}
      1    0.0%    0.0%  Handler: next {58}
      1    0.0%    0.0%  Handler: next {57}
      1    0.0%    0.0%  Handler: next {56}
      1    0.0%    0.0%  Handler: next {55}
      1    0.0%    0.0%  Handler: next {557}
      1    0.0%    0.0%  Handler: next {556}
      1    0.0%    0.0%  Handler: next {555}
      1    0.0%    0.0%  Handler: next {554}
      1    0.0%    0.0%  Handler: next {553}
      1    0.0%    0.0%  Handler: next {551}
      1    0.0%    0.0%  Handler: next {550}
      1    0.0%    0.0%  Handler: next {549}
      1    0.0%    0.0%  Handler: next {546}
      1    0.0%    0.0%  Handler: next {545}
      1    0.0%    0.0%  Handler: next {542}
      1    0.0%    0.0%  Handler: next {541}
      1    0.0%    0.0%  Handler: next {540}
      1    0.0%    0.0%  Handler: next {53}
      1    0.0%    0.0%  Handler: next {539}
      1    0.0%    0.0%  Handler: next {537}
      1    0.0%    0.0%  Handler: next {536}
      1    0.0%    0.0%  Handler: next {535}
      1    0.0%    0.0%  Handler: next {534}
      1    0.0%    0.0%  Handler: next {533}
      1    0.0%    0.0%  Handler: next {532}
      1    0.0%    0.0%  Handler: next {531}
      1    0.0%    0.0%  Handler: next {530}
      1    0.0%    0.0%  Handler: next {52}
      1    0.0%    0.0%  Handler: next {529}
      1    0.0%    0.0%  Handler: next {528}
      1    0.0%    0.0%  Handler: next {526}
      1    0.0%    0.0%  Handler: next {525}
      1    0.0%    0.0%  Handler: next {524}
      1    0.0%    0.0%  Handler: next {523}
      1    0.0%    0.0%  Handler: next {522}
      1    0.0%    0.0%  Handler: next {520}
      1    0.0%    0.0%  Handler: next {51}
      1    0.0%    0.0%  Handler: next {519}
      1    0.0%    0.0%  Handler: next {518}
      1    0.0%    0.0%  Handler: next {516}
      1    0.0%    0.0%  Handler: next {515}
